Campaign,Ad Group,Max CPC,Status
Search - Garden Maintenance,Gardener - Generic,2.50,Enabled
Search - Garden Maintenance,Garden Maintenance,2.50,Enabled
Search - Garden Maintenance,Lawn & Grass Cutting,2.20,Enabled
Search - Garden Maintenance,Hedge Cutting,2.20,Enabled
Search - Landscaping & Patios,Patios,3.00,Enabled
Search - Landscaping & Patios,Fencing,2.80,Enabled
Search - Landscaping & Patios,Turfing & New Lawns,2.60,Enabled
Search - Landscaping & Patios,Landscaping - Generic,3.00,Enabled
Search - Garden Design & Planting,Garden Design,2.80,Paused
Search - Commercial Grounds,Commercial Grounds,3.20,Paused
