Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
Search - Garden Maintenance,Gardener - Generic,gardener aylesbury,Exact,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Gardener - Generic,gardeners aylesbury,Exact,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Gardener - Generic,gardener near me,Phrase,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Gardener - Generic,local gardener aylesbury,Exact,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Gardener - Generic,garden services aylesbury,Exact,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Gardener - Generic,gardening services near me,Phrase,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Garden Maintenance,garden maintenance aylesbury,Exact,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Garden Maintenance,garden maintenance services,Phrase,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Garden Maintenance,weekly garden maintenance,Phrase,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Garden Maintenance,regular garden maintenance,Phrase,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Garden Maintenance,garden tidy up service,Phrase,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Garden Maintenance,garden clearance aylesbury,Exact,1.60,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Lawn & Grass Cutting,grass cutting service aylesbury,Exact,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Lawn & Grass Cutting,lawn mowing service aylesbury,Exact,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Lawn & Grass Cutting,grass cutting service near me,Phrase,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Lawn & Grass Cutting,lawn mowing service,Phrase,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Lawn & Grass Cutting,lawn care service aylesbury,Exact,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Hedge Cutting,hedge cutting aylesbury,Exact,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Hedge Cutting,hedge trimming aylesbury,Exact,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Hedge Cutting,hedge cutting service near me,Phrase,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Garden Maintenance,Hedge Cutting,hedge cutting service,Phrase,1.40,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - Landscaping & Patios,Patios,patio installers aylesbury,Exact,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Landscaping & Patios,Patios,patio laying aylesbury,Exact,2.00,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
