Campaign,Ad Group,Ad Type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4,Path 1,Path 2,Final URL,Status
Search - JW Garden Services,Gardener - Generic,Responsive search ad,Gardeners in Aylesbury,Weekly Garden Maintenance,"Gardeners, Not Mow & Go","Free Quote, No Obligation",All Waste Taken Away,Local to Aylesbury Since 2017,"Same Day, Every Week",Gardeners Guild Members,"Lawns, Hedges & Borders",City & Guilds Qualified,Book Your Free Quote,Reliable Weekly Gardeners,,,,"Weekly garden maintenance across Aylesbury and the villages. Free quotes, waste removed.","City & Guilds qualified, trading since 2017. Lawns, hedges and borders kept immaculate.",We bring our own tools and take every bag of clippings with us. Same day each week.,"Covering Aylesbury, Wendover, Wing, Stone, Haddenham and Tring. Call for a free quote.",Gardeners,Aylesbury,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - JW Garden Services,Garden Maintenance,Responsive search ad,Gardeners in Aylesbury,Weekly Garden Maintenance,"Gardeners, Not Mow & Go","Free Quote, No Obligation",All Waste Taken Away,Local to Aylesbury Since 2017,"Same Day, Every Week",Gardeners Guild Members,"Lawns, Hedges & Borders",City & Guilds Qualified,Book Your Free Quote,Reliable Weekly Gardeners,,,,"Weekly garden maintenance across Aylesbury and the villages. Free quotes, waste removed.","City & Guilds qualified, trading since 2017. Lawns, hedges and borders kept immaculate.",We bring our own tools and take every bag of clippings with us. Same day each week.,"Covering Aylesbury, Wendover, Wing, Stone, Haddenham and Tring. Call for a free quote.",Garden,Maintenance,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - JW Garden Services,Lawn & Grass Cutting,Responsive search ad,Gardeners in Aylesbury,Weekly Garden Maintenance,"Gardeners, Not Mow & Go","Free Quote, No Obligation",All Waste Taken Away,Local to Aylesbury Since 2017,"Same Day, Every Week",Gardeners Guild Members,"Lawns, Hedges & Borders",City & Guilds Qualified,Book Your Free Quote,Reliable Weekly Gardeners,,,,"Weekly garden maintenance across Aylesbury and the villages. Free quotes, waste removed.","City & Guilds qualified, trading since 2017. Lawns, hedges and borders kept immaculate.",We bring our own tools and take every bag of clippings with us. Same day each week.,"Covering Aylesbury, Wendover, Wing, Stone, Haddenham and Tring. Call for a free quote.",Lawn-Care,Aylesbury,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - JW Garden Services,Hedge Cutting,Responsive search ad,Gardeners in Aylesbury,Weekly Garden Maintenance,"Gardeners, Not Mow & Go","Free Quote, No Obligation",All Waste Taken Away,Local to Aylesbury Since 2017,"Same Day, Every Week",Gardeners Guild Members,"Lawns, Hedges & Borders",City & Guilds Qualified,Book Your Free Quote,Reliable Weekly Gardeners,,,,"Weekly garden maintenance across Aylesbury and the villages. Free quotes, waste removed.","City & Guilds qualified, trading since 2017. Lawns, hedges and borders kept immaculate.",We bring our own tools and take every bag of clippings with us. Same day each week.,"Covering Aylesbury, Wendover, Wing, Stone, Haddenham and Tring. Call for a free quote.",Hedge-Cutting,Aylesbury,https://jw-gardenservices.co.uk/services/garden-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=maintenance,Enabled
Search - JW Garden Services,Patios,Responsive search ad,Landscapers in Aylesbury,"Patios, Paths & Fencing","Hard Landscaping, Done Well",Free On-Site Quote,Turfing & New Lawns,"Local Landscapers, Est 2017",See Our Recent Projects,"Decking, Fencing & Patios",Qualified & Insured,Aylesbury & Surrounding Area,Book a Free Site Visit,"Built to Last, Not to Rush",,,,"Patios, paths, fencing, decking and turfing across Aylesbury and Bucks. Free quotes.","Landscaping by trained gardeners, not a general builder. Trading locally since 2017.","See photos of recent patios and fencing on our site, then book a free site visit.","Covering Aylesbury, Tring, Wendover, Haddenham and the surrounding villages.",Patios,Aylesbury,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - JW Garden Services,Fencing,Responsive search ad,Landscapers in Aylesbury,"Patios, Paths & Fencing","Hard Landscaping, Done Well",Free On-Site Quote,Turfing & New Lawns,"Local Landscapers, Est 2017",See Our Recent Projects,"Decking, Fencing & Patios",Qualified & Insured,Aylesbury & Surrounding Area,Book a Free Site Visit,"Built to Last, Not to Rush",,,,"Patios, paths, fencing, decking and turfing across Aylesbury and Bucks. Free quotes.","Landscaping by trained gardeners, not a general builder. Trading locally since 2017.","See photos of recent patios and fencing on our site, then book a free site visit.","Covering Aylesbury, Tring, Wendover, Haddenham and the surrounding villages.",Fencing,Aylesbury,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - JW Garden Services,Turfing & New Lawns,Responsive search ad,Landscapers in Aylesbury,"Patios, Paths & Fencing","Hard Landscaping, Done Well",Free On-Site Quote,Turfing & New Lawns,"Local Landscapers, Est 2017",See Our Recent Projects,"Decking, Fencing & Patios",Qualified & Insured,Aylesbury & Surrounding Area,Book a Free Site Visit,"Built to Last, Not to Rush",,,,"Patios, paths, fencing, decking and turfing across Aylesbury and Bucks. Free quotes.","Landscaping by trained gardeners, not a general builder. Trading locally since 2017.","See photos of recent patios and fencing on our site, then book a free site visit.","Covering Aylesbury, Tring, Wendover, Haddenham and the surrounding villages.",Turfing,New-Lawns,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - JW Garden Services,Landscaping - Generic,Responsive search ad,Landscapers in Aylesbury,"Patios, Paths & Fencing","Hard Landscaping, Done Well",Free On-Site Quote,Turfing & New Lawns,"Local Landscapers, Est 2017",See Our Recent Projects,"Decking, Fencing & Patios",Qualified & Insured,Aylesbury & Surrounding Area,Book a Free Site Visit,"Built to Last, Not to Rush",,,,"Patios, paths, fencing, decking and turfing across Aylesbury and Bucks. Free quotes.","Landscaping by trained gardeners, not a general builder. Trading locally since 2017.","See photos of recent patios and fencing on our site, then book a free site visit.","Covering Aylesbury, Tring, Wendover, Haddenham and the surrounding villages.",Landscaping,Aylesbury,https://jw-gardenservices.co.uk/services/landscaping-and-patios?utm_source=google&utm_medium=cpc&utm_campaign=landscaping,Enabled
Search - Garden Design & Planting,Garden Design,Responsive search ad,Garden Design in Aylesbury,Planting Plans That Work,Designed by a Horticulturist,Free Design Consultation,"Borders, Beds & Planting",Local Garden Designers,"City & Guilds Qual, Est 2017",Book Your Free Quote,,,,,,,,"Garden design and planting plans tailored to your space, soil and how you use it.",Designed and planted by trained gardeners who will maintain it afterwards too.,"Covering Aylesbury and the surrounding Bucks, Beds and Herts villages.",,Garden-Design,Aylesbury,https://jw-gardenservices.co.uk/services/garden-design-and-planting?utm_source=google&utm_medium=cpc&utm_campaign=design,Paused
Search - Commercial Grounds,Commercial Grounds,Responsive search ad,Commercial Grounds Care,"Grounds Maintenance, Bucks","Offices, Schools & Estates",Scheduled Site Visits,"Fully Insured, Est 2017",Request a Site Quote,Local Grounds Contractor,"Reliable, Same Team Weekly",,,,,,,,"Scheduled grounds maintenance for offices, schools and managed sites across Bucks.","The same team every visit, fully insured, with all green waste removed.","Based in Aylesbury, covering Buckinghamshire, Bedfordshire and Hertfordshire.",,Commercial,Grounds,https://jw-gardenservices.co.uk/services/commercial-grounds-maintenance?utm_source=google&utm_medium=cpc&utm_campaign=commercial,Paused
